Player,PlayerID,URLs,Pos,Age,Tm,G,GS,MP,MP/G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,OWS,DWS,WS,WS/48,atTwitter,twitter
Alex Abrines,\abrinal01,http://www.basketball-reference.com/players/a/abrinal01.html,SG,23,OKC,66,6,1022,15.5,1.9,5,0.391,1.3,3.6,0.372,0.6,1.3,0.443,0.528,0.7,0.7,0.898,0.2,1,1.2,0.6,0.5,0.1,0.5,1.7,5.9,9.9,1.1,0.9,2,0.094,@alexabrines,alexabrines
Quincy Acy,\acyqu01,http://www.basketball-reference.com/players/a/acyqu01.html,PF,26,TOT,36,1,527,14.6,1.9,4.5,0.422,1,2.4,0.424,0.9,2.1,0.421,0.534,1.3,1.7,0.75,0.5,2.6,3.1,0.4,0.4,0.4,0.6,1.8,6,12.3,0.5,0.5,1,0.088,@QuincyAcy,QuincyAcy
Quincy Acy,\acyqu01,http://www.basketball-reference.com/players/a/acyqu01.html,PF,26,DAL,6,0,48,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,-1.4,-0.2,0,-0.1,-0.132,@QuincyAcy,QuincyAcy
Quincy Acy,\acyqu01,http://www.basketball-reference.com/players/a/acyqu01.html,PF,26,BRK,30,1,479,16,2.1,4.8,0.438,1.2,2.6,0.449,0.9,2.2,0.424,0.559,1.4,1.9,0.754,0.5,2.9,3.4,0.5,0.4,0.5,0.6,1.8,6.8,13.7,0.6,0.4,1.1,0.11,@QuincyAcy,QuincyAcy
Steven Adams,\adamsst01,http://www.basketball-reference.com/players/a/adamsst01.html,C,23,OKC,76,76,2287,30.1,4.7,8.2,0.572,0,0,0,4.7,8.2,0.574,0.572,2,3.3,0.606,3.4,4.2,7.6,1.1,1.1,1,1.8,2.4,11.4,16.2,3.1,3,6.1,0.128,@RealStevenAdams,RealStevenAdams
Arron Afflalo,\afflaar01,http://www.basketball-reference.com/players/a/afflaar01.html,SG,31,SAC,59,43,1526,25.9,3,6.9,0.432,1.1,2.5,0.413,1.9,4.4,0.444,0.509,1.4,1.5,0.89,0.2,1.9,2.1,1.2,0.4,0.1,0.7,1.7,8.4,8.8,1,0.3,1.3,0.041,NA,NA
Alexis Ajinca,\ajincal01,http://www.basketball-reference.com/players/a/ajincal01.html,C,28,NOP,35,12,478,13.7,1.8,3.8,0.478,0,0.1,0,1.8,3.7,0.489,0.478,0.6,0.9,0.71,1.1,3.1,4.2,0.3,0.5,0.6,0.7,1.8,4.3,11.9,-0.1,0.8,0.7,0.071,@AjincaAlexis42,AjincaAlexis42
Cole Aldrich,\aldrico01,http://www.basketball-reference.com/players/a/aldrico01.html,C,28,MIN,61,0,516,8.5,0.7,1.4,0.524,0,0,NA,0.7,1.4,0.524,0.524,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,13,0.6,0.7,1.3,0.122,@colea45,colea45
LaMarcus Aldridge,\aldrila01,http://www.basketball-reference.com/players/a/aldrila01.html,PF,31,SAS,69,69,2247,32.6,6.9,14.6,0.472,0.3,0.8,0.434,6.6,13.9,0.474,0.484,3.2,3.9,0.81,2.5,5,7.4,2,0.6,1.2,1.4,2.2,17.3,18.6,3.4,3.6,7,0.149,@aldridge_12,aldridge_12
Lavoy Allen,\allenla01,http://www.basketball-reference.com/players/a/allenla01.html,PF,27,IND,59,5,859,14.6,1.2,2.7,0.451,0,0,0,1.2,2.7,0.453,0.451,0.4,0.5,0.688,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.8,11.1,0.8,0.8,1.5,0.084,@chefVOYardee,chefVOYardee
